Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Juliana Lima,Loss,9–4,Tecia Torres,Submission (rear-naked choke),The Ultimate Fighter: Redemption Finale,"July 7, 2017",2,0:53
Juliana Lima,Win,9–3,JJ Aldrich,Decision (unanimous),UFC Fight Night: Lewis vs. Abdurakhimov,"December 9, 2016",3,5:00
Juliana Lima,Loss,8–3,Carla Esparza,Decision (unanimous),UFC 197,"April 23, 2016",3,5:00
Juliana Lima,Win,8–2,Ericka Almeida,Decision (unanimous),UFC Fight Night: Condit vs. Alves,"May 30, 2015",3,5:00
Juliana Lima,Win,7–2,Nina Ansaroff,Decision (unanimous),UFC Fight Night: Shogun vs. Saint Preux,"November 8, 2014",3,5:00
Juliana Lima,Loss,6–2,Joanna Jędrzejczyk,Decision (unanimous),UFC on Fox: Lawler vs. Brown,"July 26, 2014",3,5:00
Juliana Lima,Win,6–1,Liliani Trolezi,TKO (punches),Brasil Fight 7: Minas Gerais vs. Federal District,"October 11, 2013",1,1:08
Juliana Lima,Loss,5–1,Katja Kankaanpää,Decision (unanimous),Invicta FC 5: Penne vs. Waterson,"April 5, 2013",3,5:00
Juliana Lima,Win,5–0,Aline Nery,Decision (unanimous),Brasil Fight 6: Brazil vs. USA,"September 21, 2012",3,5:00
Juliana Lima,Win,4–0,Patricia de Farias,TKO (punches),Super Fight Lafaiete,"September 1, 2012",1,3:41
Juliana Lima,Win,3–0,Kinberly Novaes,Decision (unanimous),Brasil Fight 5: Back to Fight,"September 21, 2011",3,5:00
Juliana Lima,Win,2–0,Dayana Silva,Decision (unanimous),Brasil Fight 4: The VIP Night,"April 23, 2011",3,5:00
Juliana Lima,Win,1–0,Aline Serio,Decision (split),Brasil Fight 3: Minas Gerais vs. São Paulo,"November 27, 2010",3,5:00
Justine Kish,Loss,6–2,Ji Yeon Kim,Decision (split),UFC on Fox: Jacaré vs. Brunson 2,"January 27, 2018",3,5:00
Justine Kish,Loss,6–1,Felice Herrig,Decision (unanimous),UFC Fight Night: Chiesa vs. Lee,"June 25, 2017",3,5:00
Justine Kish,Win,6–0,Ashley Yoder,Decision (unanimous),UFC Fight Night: Lewis vs. Abdurakhimov,"December 9, 2016",3,5:00
Justine Kish,Win,5–0,Nina Ansaroff,Decision (unanimous),UFC 195,"January 2, 2016",3,5:00
Justine Kish,Win,4–0,Randa Markos,Decision (unanimous),RFA 12,"January 24, 2014",3,5:00
Justine Kish,Win,3–0,Jin Tang,Decision (unanimous),Fusion Fighting Championship 5,"December 18, 2013",3,5:00
Justine Kish,Win,2–0,Christine Stanley,Submission (armbar),RFA 9,"August 16, 2013",2,3:00
Justine Kish,Win,1–0,Munah Holland,Submission (triangle choke),Ring of Combat 33,"December 3, 2010",2,2:53
Francimar Barroso,Win,23–7–1 (1),Alex Nicholson,Decision (unanimous),PFL 3,"June 6, 2019",3,5:00
Francimar Barroso,Win,22–7–1 (1),Mikhail Mokhnatkin,Decision (unanimous),RCC 5,"December 15, 2018",3,5:00
Francimar Barroso,Draw,21–7–1 (1),Josh Copeland,Draw (unanimous),PFL 8,"October 5, 2018",2,5:00
Francimar Barroso,Win,21–7 (1),Jack May,Submission (arm-triangle choke),PFL 4,"July 19, 2018",1,1:36
Francimar Barroso,Win,20–7 (1),Daniel Gallemore,TKO (doctor stoppage),PFL 1,"June 7, 2018",1,3:57
Francimar Barroso,Loss,19–7 (1),Gian Villante,Decision (split),UFC 220,"January 20, 2018",3,5:00
Francimar Barroso,Loss,19–6 (1),Aleksandar Rakić,Decision (unanimous),UFC Fight Night: Volkov vs. Struve,"September 2, 2017",3,5:00
Francimar Barroso,Win,19–5 (1),Darren Stewart,Decision (unanimous),UFC Fight Night: Manuwa vs. Anderson,"March 18, 2017",3,5:00
Francimar Barroso,NC,18–5 (1),Darren Stewart,NC (inadvertent headbutt),UFC Fight Night: Bader vs. Nogueira 2,"November 19, 2016",1,1:34
Francimar Barroso,Loss,18–5,Nikita Krylov,Submission (rear-naked choke),UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016",2,3:11
Francimar Barroso,Win,18–4,Elvis Mutapcic,Decision (unanimous),UFC Fight Night: Dillashaw vs. Cruz,"January 17, 2016",3,5:00
Francimar Barroso,Win,17–4,Ryan Jimmo,Decision (unanimous),UFC Fight Night: Condit vs. Alves,"May 30, 2015",3,5:00
Francimar Barroso,Loss,16–4,Hans Stringer,Decision (split),UFC Fight Night: Shogun vs. Henderson 2,"March 23, 2014",3,5:00
Francimar Barroso,Win,16–3,Ednaldo Oliveira,Decision (unanimous),UFC 163,"August 3, 2013",3,5:00
Francimar Barroso,Win,15–3,Simao Melo,Submission (rear-naked choke),WOCS: Watch Out Combat Show 25,"April 12, 2013",2,4:56
Francimar Barroso,Win,14–3,Cristiano Souza,TKO (doctor stoppage),Shooto: Brazil 36,"November 23, 2012",1,N/A
Francimar Barroso,Win,13–3,Falco Lopes,Submission (guillotine choke),Shooto: Brazil 28,"March 10, 2012",1,3:15
Francimar Barroso,Loss,12–3,Baga Agaev,KO (punch and knees),DFC: Desert Force 2,"May 19, 2011",1,1:13
Francimar Barroso,Win,12–2,Abhijeet Petkar,KO (head kick),DFC: Desert Force 1,"December 8, 2010",1,0:05
Francimar Barroso,Win,11–2,Kleber Raimundo,Decision (unanimous),CF: Capital Fight 3,"November 5, 2010",3,5:00
Francimar Barroso,Win,10–2,Jacob Quintana,Submission (punches),MK: Mega Kombat,"July 24, 2010",3,N/A
Francimar Barroso,Win,9–2,Alessandro Stefano,TKO (punches),BC: Bitetti Combat 5,"December 12, 2009",1,1:50
Francimar Barroso,Win,8–2,Paulo Henrique Garcia,TKO (punches),IMC: Iron Man Championship 3,"September 10, 2009",1,N/A
Francimar Barroso,Win,7–2,Levi da Costa,TKO (corner stoppage),Shooto: Brazil 12,"May 30, 2009",1,5:00
Francimar Barroso,Win,6–2,Roque Oliver,Submission (rear-naked choke),Shooto: Brazil 11,"March 28, 2009",1,4:48
Francimar Barroso,Win,5–2,Joao Paulo de Souza,TKO (punches),CC: Coari Combat 3,"February 15, 2009",1,N/A
Francimar Barroso,Win,4–2,Adriano Balby,Submission (rear-naked choke),MFC: Manaus Fight Championship,"June 14, 2008",1,0:52
Francimar Barroso,Loss,3–2,Geronimo dos Santos,TKO (punches),AC: Amazon Challenge 2,"March 1, 2008",1,4:00
Francimar Barroso,Win,3–1,Sandro Pitbull,TKO (finger injury),HTJ: Hero's the Jungle,"October 13, 2007",2,N/A
Francimar Barroso,Loss,2–1,Josue Makowiecky,KO (knee),FF: Floripa Fight 1,"November 26, 2005",1,2:27
Francimar Barroso,Win,2–0,Rogerio Farias,Submission (punches),FCC: Fight Center Cup 4,"October 21, 2005",1,N/A
Francimar Barroso,Win,1–0,Junior Tigre,KO (head kick),SFC: Slap Fight Combat,"May 16, 2005",1,4:27
Thomas Almeida,Loss,21–3,Rob Font,KO (head kick and punches),UFC 220,"January 20, 2018",2,2:24
Thomas Almeida,Loss,21–2,Jimmie Rivera,Decision (unanimous),UFC on Fox: Weidman vs. Gastelum,"July 22, 2017",3,5:00
Thomas Almeida,Win,21–1,Albert Morales,TKO (punches),UFC Fight Night: Bader vs. Nogueira 2,"November 19, 2016",2,1:37
Thomas Almeida,Loss,20–1,Cody Garbrandt,KO (punches),UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016",1,2:53
Thomas Almeida,Win,20–0,Anthony Birchak,KO (punch),UFC Fight Night: Belfort vs. Henderson 3,"November 7, 2015",1,4:24
Thomas Almeida,Win,19–0,Brad Pickett,KO (flying knee),UFC 189,"July 11, 2015",2,0:29
Thomas Almeida,Win,18–0,Yves Jabouin,TKO (punches),UFC 186,"April 25, 2015",1,4:18
Thomas Almeida,Win,17–0,Tim Gorman,Decision (unanimous),UFC Fight Night: Shogun vs. Saint Preux,"November 8, 2014",3,5:00
Thomas Almeida,Win,16–0,Caio Machado,TKO (body punch),Legacy FC 32,"June 20, 2014",1,4:17
Thomas Almeida,Win,15–0,Vinicius Zani,TKO (punches),MMA Super Heroes 3,"March 30, 2014",4,3:52
Thomas Almeida,Win,14–0,George Pacurariu,TKO (punches),Legacy FC 26,"December 6, 2013",1,4:31
Thomas Almeida,Win,13–0,Cemir Silva,TKO (punches),Standout Fighting Tournament,"September 20, 2013",2,4:42
Thomas Almeida,Win,12–0,Willidy Viana,TKO (punches),Alfenas Balada Fight 1,"August 9, 2013",1,0:47
Thomas Almeida,Win,11–0,Valdines Silva,KO (knee and punches),MMA Super Heroes 1,"July 13, 2013",1,2:46
Thomas Almeida,Win,10–0,José Alexandre,TKO (punches),Bison FC 1,"July 4, 2013",1,3:18
Thomas Almeida,Win,9–0,Gilmar Sales,TKO (punches),Fair Fight: MMA Edition,"December 16, 2012",1,2:32
Thomas Almeida,Win,8–0,Cody Williams,KO (elbow),Legacy FC 15,"November 16, 2012",1,2:28
Thomas Almeida,Win,7–0,Vander Correa,KO (punch),Predador FC 22,"October 20, 2012",1,2:21
Thomas Almeida,Win,6–0,Michel Igenho,KO (punches),Predador FC 21,"August 11, 2012",1,3:02
Thomas Almeida,Win,5–0,Samuel Lima Brito,Submission (guillotine choke),Gladiador Fight 3,"May 19, 2012",1,1:32
Thomas Almeida,Win,4–0,Ivonei Pridonik,TKO (head kick and punches),Nitrix Champion Fight 11,"May 5, 2012",1,1:21
Thomas Almeida,Win,3–0,Edmilson Atanasio,TKO (punches),Union Combat 1,"April 4, 2012",1,1:57
Thomas Almeida,Win,2–0,Jorge Fernando,Submission (armbar),Gold Fight Selection 3,"February 25, 2012",1,0:47
Thomas Almeida,Win,1–0,Danilo Molina,Submission (armbar),Thai Fight 3,"November 29, 2011",1,2:16
Sabah Homasi,Loss,11–8,Abdul Razak Alhassan,KO (punch),UFC 220,"January 20, 2018",1,3:47
Sabah Homasi,Loss,11–7,Abdul Razak Alhassan,TKO (punches),UFC 218,"December 2, 2017",1,4:21
Sabah Homasi,Loss,11–6,Tim Means,TKO (punches),UFC 202,"August 20, 2016",2,2:56
Sabah Homasi,Win,11–5,Jorge Patino,KO (punch),Titan FC 40,"August 5, 2016",2,1:18
Sabah Homasi,Win,10–5,Victor Regis Eustáquio,TKO (punches),Titan FC 39,"June 10, 2016",1,2:21
Sabah Homasi,Win,9–5,Derrick Kennington,TKO (punches),Absolute Fighting Championship 25,"April 1, 2016",1,1:13
Sabah Homasi,Loss,8–5,Reggie Pena,TKO (punches),Supreme FC 1,"August 15, 2015",2,1:07
Sabah Homasi,Win,8–4,Eric Moon,Submission (guillotine choke),Bellator 124,"September 12, 2014",2,1:07
Sabah Homasi,Win,7–4,Jerome Jones,TKO (punches),MTC: In the Beginning,"April 3, 2014",2,1:02
Sabah Homasi,Win,6–4,Michael Trujillo,TKO (head kick and punches),CFA 12: Sampo vs. Thao,"October 12, 2013",1,4:25
Sabah Homasi,Loss,5–4,Ricky Legere Jr.,Submission (rear-naked choke),Bellator 93,"March 7, 2013",2,2:52
Sabah Homasi,Win,5–3,Jose Caceres,Decision (split),CFA 7: Never Give Up,"June 30, 2012",3,5:00
Sabah Homasi,Loss,4–3,Jon Manley,Decision (unanimous),W-1 MMA 7: Reloaded,"October 15, 2011",3,5:00
Sabah Homasi,Win,4–2,Kevin Pearson,Submission (kimura),World Extreme Fighting 46,"April 22, 2011",2,1:35
Sabah Homasi,Win,3–2,Eliton Sarmento,TKO (retirement),World Extreme Fighting 45,"January 22, 2011",2,5:00
Sabah Homasi,Loss,2–2,Frank Carrillo,TKO (elbows),Bellator 21,"June 10, 2010",3,3:16
Sabah Homasi,Loss,2–1,John Kelly,Submission (rear-naked choke),Strikeforce: Miami,"January 30, 2010",2,2:48
Sabah Homasi,Win,2–0,Adrian Miles,TKO (punches),Inferno: MMA,"July 17, 2009",1,1:28
Sabah Homasi,Win,1–0,Lindon Mitchell,TKO (punches),XFN: Da Matta vs. Thorne,"May 14, 2009",1,1:37
Doo Ho Choi,Loss,14–3,Jeremy Stephens,TKO (punches and elbows),UFC Fight Night: Stephens vs. Choi,"January 14, 2018",2,2:36
Doo Ho Choi,Loss,14–2,Cub Swanson,Decision (unanimous),UFC 206,"December 10, 2016",3,5:00
Doo Ho Choi,Win,14–1,Thiago Tavares,KO (punches),The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"July 8, 2016",1,2:42
Doo Ho Choi,Win,13–1,Sam Sicilia,KO (punches),UFC Fight Night: Henderson vs. Masvidal,"November 28, 2015",1,1:33
Doo Ho Choi,Win,12–1,Juan Puig,TKO (punches),UFC Fight Night: Edgar vs. Swanson,"November 22, 2014",1,0:18
Doo Ho Choi,Win,11–1,Shoji Maruyama,TKO (punches),Deep: Cage Impact 2013,"June 15, 2013",2,2:33
Doo Ho Choi,Win,10–1,Tatsunao Nagakura,TKO (corner stoppage),Deep: 61 Impact,"February 16, 2013",2,4:14
Doo Ho Choi,Win,9–1,Kosuke Umeda,KO (punch),Deep: 59 Impact,"August 18, 2012",1,2:49
Doo Ho Choi,Win,8–1,Mitsuhiro Ishida,KO (knee and punches),Deep / Smash: Japan MMA League 2011 Semifinals,"December 17, 2011",1,1:33
Doo Ho Choi,Win,7–1,Nobuhiro Obiya,KO (flying knee),"Deep: Cage Impact 2011 in Tokyo, 2nd Round","October 29, 2011",3,0:15
Doo Ho Choi,Win,6–1,Hisaki Hiraishi,Decision (unanimous),Gladiator: Gladiator 23,"September 3, 2011",2,5:00
Doo Ho Choi,Win,5–1,Atsuhiro Tsuboi,TKO (punches),Deep: clubDeep Nagoya: Kobudo Fight,"September 5, 2010",1,4:53
Doo Ho Choi,Win,4–1,Yuichiro Ono,TKO (punches),Gladiator: Gladiator 7,"June 27, 2010",1,0:26
Doo Ho Choi,Win,3–1,Ikuo Usuda,Decision (split),World Victory Road Presents: Sengoku Raiden Championships 13,"June 20, 2010",3,5:00
Doo Ho Choi,Loss,2–1,Yusuke Kagiyama,Decision (split),Deep: Cage Impact 2010 in Osaka,"June 6, 2010",2,5:00
Doo Ho Choi,Win,2–0,Jong Wha Lee,TKO (punches),M-1 Selection 2010: Asia Round 1,"March 5, 2010",1,3:20
Doo Ho Choi,Win,1–0,Takashi Matsuoka,Submission (armbar),Grachan: Grachan 3,"November 29, 2009",1,1:05
Khalil Rountree,Win,8–3 (1),Eryk Anders,Decision (unanimous),UFC 236,"April 13, 2019",3,5:00
Khalil Rountree,Loss,7–3 (1),Johnny Walker,KO (elbow),UFC Fight Night: Magny vs. Ponzinibbio,"November 17, 2018",1,1:57
Khalil Rountree,Win,7–2 (1),Gökhan Saki,TKO (punches),UFC 226,"July 6, 2018",1,1:36
Khalil Rountree,NC,6–2 (1),Michał Oleksiejczuk,NC (overturned),UFC 219,"December 30, 2017",3,5:00
Khalil Rountree,Win,6–2,Paul Craig,KO (punches),UFC Fight Night: Nelson vs. Ponzinibbio,"July 16, 2017",1,4:56
Khalil Rountree,Win,5–2,Daniel Jolly,KO (knee),UFC Fight Night: Bermudez vs. Korean Zombie,"February 4, 2017",1,0:52
Khalil Rountree,Loss,4–2,Tyson Pedro,Submission (rear-naked choke),UFC Fight Night: Whittaker vs. Brunson,"November 27, 2016",1,4:07
Khalil Rountree,Loss,4–1,Andrew Sanchez,Decision (unanimous),The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"July 8, 2016",3,5:00
Khalil Rountree,Win,4–0,Justin Polendey,KO (punch),RFA 33,"December 11, 2015",1,1:42
Khalil Rountree,Win,3–0,Cameron Olson,Decision (unanimous),RFA 25,"April 10, 2015",3,5:00
Khalil Rountree,Win,2–0,Blake Troop,KO (punch),RFA 21,"December 5, 2014",1,0:39
Khalil Rountree,Win,1–0,Livingston Lukow,Decision (unanimous),RFA 15,"June 6, 2014",3,5:00
Tim Elliott,Win,15–8–1,Mark De La Rosa,Submission (anaconda choke),UFC 219,"December 30, 2017",2,1:41
Tim Elliott,Loss,14–8–1,Ben Nguyen,Submission (rear-naked choke),UFC Fight Night: Lewis vs. Hunt,"June 11, 2017",1,0:49
Tim Elliott,Win,14–7–1,Louis Smolka,Decision (unanimous),UFC on Fox: Johnson vs. Reis,"April 15, 2017",3,5:00
Tim Elliott,Loss,13–7–1,Demetrious Johnson,Decision (unanimous),The Ultimate Fighter: Tournament of Champions Finale,"December 3, 2016",5,5:00
Tim Elliott,Win,13–6–1,Pedro Nobre,Decision (unanimous),Titan FC 37,"March 5, 2016",5,5:00
Tim Elliott,Win,12–6–1,Felipe Efrain,Submission (guillotine choke),Titan FC 35,"September 19, 2015",2,2:30
Tim Elliott,Win,11–6–1,Iliarde Santos,Decision (unanimous),Titan FC 34,"July 18, 2015",5,5:00
Tim Elliott,Loss,10–6–1,Zach Makovsky,Decision (unanimous),UFC Fight Night: Henderson vs. Thatch,"February 14, 2015",3,5:00
Tim Elliott,Loss,10–5–1,Joseph Benavidez,Submission (guillotine choke),UFC 172,"April 26, 2014",1,4:08
Tim Elliott,Loss,10–4–1,Ali Bagautinov,Decision (unanimous),UFC 167,"November 16, 2013",3,5:00
Tim Elliott,Win,10–3–1,Louis Gaudinot,Decision (unanimous),UFC 164,"August 31, 2013",3,5:00
Tim Elliott,Win,9–3–1,Jared Papazian,Decision (unanimous),The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"December 15, 2012",3,5:00
Tim Elliott,Loss,8–3–1,John Dodson,Decision (unanimous),UFC on Fox: Diaz vs. Miller,"May 5, 2012",3,5:00
Tim Elliott,Win,8–2–1,Josh Rave,Technical Submission (D'Arce choke),RFA 2,"March 30, 2012",1,0:28
Tim Elliott,Win,7–2–1,Jens Pulver,KO (knee),RFA 1,"December 16, 2011",2,2:12
Tim Elliott,Win,6–2–1,Kashif Solarin,Submission,Cowboy MMA: Caged Cowboys,"May 21, 2011",1,0:57
Tim Elliott,Win,5–2–1,John McDowell,TKO (punches),Art of War Cage Fights,"February 26, 2011",1,2:56
Tim Elliott,Win,4–2–1,Victor Dominguez,Decision (unanimous),C3 Fights,"October 22, 2010",3,5:00
Tim Elliott,Win,3–2–1,Cody Fuller,Submission (triangle choke),Bricktown Brawl 5,"June 25, 2010",3,2:34
Tim Elliott,Win,2–2–1,Michael Casteel,Submission (rear-naked choke),Bricktown Brawl 4,"April 2, 2010",1,2:01
Tim Elliott,Win,1–2–1,Victor Veloquio,KO (punches),BB 3: Holiday Havoc,"December 11, 2009",1,0:33
Tim Elliott,Loss,0–2–1,Jacky Bryant,TKO (punches),Bricktown Brawl 2,"August 28, 2009",1,0:52
Tim Elliott,Loss,0–1–1,Shane Howell,Submission (triangle choke),Harrah Fight Night,"June 27, 2009",3,2:25
Tim Elliott,Draw,0–0–1,Jerod Spoon,Draw,Bricktown Brawl 1,"May 8, 2009",3,5:00
Abel Trujillo,Loss,15–8 (1),John Makdessi,Decision (unanimous),UFC on Fox: Lawler vs. dos Anjos,"December 16, 2017",3,5:00
Abel Trujillo,Loss,15–7 (1),James Vick,Submission (D'Arce choke),UFC Fight Night: Bermudez vs. Korean Zombie,"February 4, 2017",3,0:49
Abel Trujillo,Win,15–6 (1),Jordan Rinaldi,Decision (unanimous),UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016",3,5:00
Abel Trujillo,Win,14–6 (1),Tony Sims,Submission (guillotine choke),UFC 195,"January 2, 2016",1,3:18
Abel Trujillo,Win,13–6 (1),Gleison Tibau,DQ (overturned),UFC Fight Night: Belfort vs. Henderson 3,"November 7, 2015",1,1:45
Abel Trujillo,Loss,12–6 (1),Tony Ferguson,Submission (rear-naked choke),UFC 181,"December 6, 2014",2,4:19
Abel Trujillo,Win,12–5 (1),Jamie Varner,KO (punch),UFC 169,"February 1, 2014",2,2:32
Abel Trujillo,Win,11–5 (1),Roger Bowling,TKO (punches),UFC on Fox: Johnson vs. Benavidez 2,"December 14, 2013",2,1:35
Abel Trujillo,NC,10–5 (1),Roger Bowling,NC (illegal knee),UFC Fight Night: Condit vs. Kampmann 2,"August 28, 2013",2,4:57
Abel Trujillo,Loss,10–5,Khabib Nurmagomedov,Decision (unanimous),UFC 160,"May 25, 2013",3,5:00
Abel Trujillo,Win,10–4,Marcus LeVesseur,TKO (knees to the body),UFC on Fox: Henderson vs. Diaz,"December 8, 2012",2,3:56
Abel Trujillo,Win,9–4,Frank Carrillo,Decision (unanimous),CFA 7: Never Give Up,"June 30, 2012",3,5:00
Abel Trujillo,Win,8–4,James Edson Berto,Submission (punches),CFA 6: Palomino vs. Warfield,"April 13, 2012",1,1:10
Abel Trujillo,Win,7–4,Andre Garcia,Decision (unanimous),C3 Fights: Slamfest,"January 21, 2012",3,5:00
Abel Trujillo,Win,6–4,Lucas Gwaltney,Decision (unanimous),Fight Me MMA: Trujillo vs. Gwaltney,"August 13, 2011",3,5:00
Abel Trujillo,Loss,5–4,Alonzo Martinez,Submission (guillotine choke),Extreme Challenge 181,"April 15, 2011",1,3:30
Abel Trujillo,Loss,5–3,Scott Cleve,Decision (split),Extreme Beatdown at 4 Bears 8,"March 12, 2011",3,5:00
Abel Trujillo,Win,5–2,Marcos Marquez,Decision (unanimous),Extreme Challenge: Bad Blood,"February 11, 2011",3,5:00
Abel Trujillo,Win,4–2,Andre Garcia,Submission (guillotine choke),Xtreme Fight Promotions: The Holiday Fight Fest,"December 4, 2010",1,2:36
Abel Trujillo,Win,3–2,Wes Clark,Submission (punches),TriState Cage Fights,"October 23, 2010",1,2:01
Abel Trujillo,Win,2–2,Dave Lehr Cochran,KO (punches),Fight Me MMA 1: The Battle Begins,"August 14, 2010",1,1:29
Abel Trujillo,Loss,1–2,Clayton Robinson,TKO (punches),C3 Fights: Knockout-Rockout Weekend 4,"July 17, 2010",1,2:47
Abel Trujillo,Win,1–1,Dustin Praxedes,TKO (punches),Xtreme Promotions: Throwdown in Jamestown 2,"March 6, 2010",1,4:15
Abel Trujillo,Loss,0–1,Ted Worthington,Submission (armbar),Max FightsDM: Ballroom Brawl 2,"August 28, 2009",1,3:06
Oluwale Bamgbose,Loss,6–4,Alessio Di Chirico,KO (knee),UFC on Fox: Lawler vs. dos Anjos,"December 16, 2017",2,2:14
Oluwale Bamgbose,Loss,6–3,Paulo Costa,TKO (punches),UFC 212,"June 3, 2017",2,1:06
Oluwale Bamgbose,Loss,6–2,Cezar Ferreira,Decision (unanimous),UFC on Fox: Teixeira vs. Evans,"April 16, 2016",3,5:00
Oluwale Bamgbose,Win,6–1,Daniel Sarafian,KO (head kick and punches),UFC Fight Night: Cowboy vs. Cowboy,"February 21, 2016",1,1:00
Oluwale Bamgbose,Loss,5–1,Uriah Hall,TKO (punches),UFC Fight Night: Teixeira vs. Saint Preux,"August 8, 2015",1,2:32
Oluwale Bamgbose,Win,5–0,Brian Booth,TKO (punches),Ring of Combat 51,"June 5, 2015",1,0:24
Oluwale Bamgbose,Win,4–0,Devon Morris,TKO (head kick and punches),Ring of Combat 50,"January 23, 2015",1,3:18
Oluwale Bamgbose,Win,3–0,Steve Nichols,TKO (doctor stoppage),Ring of Combat 49,"September 19, 2014",1,1:24
Oluwale Bamgbose,Win,2–0,Michael Elshamy,TKO (punches),Ring of Combat 47,"January 24, 2014",1,2:51
Oluwale Bamgbose,Win,1–0,Fikret Darzanoff,TKO (punches),Ring of Combat 45,"June 14, 2013",1,2:45
Erick Silva,Loss,20–11 (1),Paul Daley,Decision (unanimous),Bellator 223,"June 22, 2019",3,5:00
Erick Silva,Loss,20–10 (1),Yaroslav Amosov,Decision (unanimous),Bellator 216,"February 16, 2019",3,5:00
Erick Silva,Win,20–9 (1),Nick Barnes,Submission (armbar),LFA 45,"July 20, 2018",1,4:43
Erick Silva,Loss,19–9 (1),Jordan Mein,Decision (unanimous),UFC on Fox: Lawler vs. dos Anjos,"December 16, 2017",3,5:00
Erick Silva,Loss,19–8 (1),Yancy Medeiros,TKO (punches),UFC 212,"June 3, 2017",2,2:01
Erick Silva,Win,19–7 (1),Luan Chagas,Submission (rear-naked choke),UFC Fight Night: Cyborg vs. Lansberg,"September 24, 2016",3,3:57
Erick Silva,Loss,18–7 (1),Nordine Taleb,KO (punch),UFC 196,"March 5, 2016",2,1:34
Erick Silva,Loss,18–6 (1),Neil Magny,Decision (split),UFC Fight Night: Holloway vs. Oliveira,"August 23, 2015",3,5:00
